t,ax,ay,az
0,-4.393800000000001,-4.882000000000001,-4.393800000000001
0.01,-4.882000000000001,-3.9056,-3.4174
0.02,-4.882000000000001,-4.393800000000001,-3.9056
0.03,-4.882000000000001,-3.4174,-3.9056
0.04,-4.393800000000001,-4.393800000000001,-3.9056
0.05,-4.882000000000001,-3.9056,-4.393800000000001
0.06,-2.4410000000000003,-5.8584000000000005,-0.4882
0.07,7.8112,-14.1578,13.6696
0.08,16.5988,-22.4572,27.8274
0.09,26.3628,-30.2684,40.0324
0.1,40.5206,-42.961600000000004,62.4896
0.11,41.0088,-43.938,64.9306
0.12,41.9852,-44.9144,66.3952
0.13,44.4262,-46.379000000000005,67.3716
0.14,43.938,-47.3554,69.3244
0.15,45.4026,-47.3554,69.8126
0.16,43.4498,-46.379000000000005,67.8598
0.17,41.9852,-42.961600000000004,63.466
0.18,39.544200000000004,-41.497,62.001400000000004
0.19,37.5914,-41.0088,59.0722
0.2,36.1268,-39.056000000000004,55.1666
0.21,36.615,-38.5678,55.1666
0.22,36.615,-39.056000000000004,55.6548
0.23,36.1268,-39.544200000000004,56.6312
0.24,36.1268,-40.0324,57.119400000000006
0.25,37.1032,-39.056000000000004,56.6312
0.26,36.1268,-39.544200000000004,57.119400000000006
0.27,37.5914,-40.0324,57.119400000000006
0.28,37.1032,-40.0324,58.095800000000004
0.29,36.615,-40.0324,57.607600000000005
0.3,38.0796,-40.0324,58.095800000000004
0.31,38.0796,-41.0088,59.5604
0.32,37.1032,-39.056000000000004,58.584
0.33,37.1032,-41.0088,58.095800000000004
0.34,38.5678,-41.0088,58.584
0.35000000000000003,37.5914,-40.5206,59.0722
0.36,38.0796,-41.0088,58.584
0.37,38.5678,-41.497,58.095800000000004
0.38,39.056000000000004,-41.0088,59.0722
0.39,38.5678,-41.0088,59.0722
0.4,39.056000000000004,-41.497,59.5604
0.41000000000000003,39.544200000000004,-41.9852,60.5368
0.42,39.544200000000004,-41.9852,60.5368
0.43,39.544200000000004,-41.9852,60.5368
0.44,39.544200000000004,-41.9852,61.025000000000006
0.45,39.544200000000004,-41.0088,60.5368
0.46,39.544200000000004,-41.497,61.025000000000006
0.47000000000000003,39.544200000000004,-42.961600000000004,61.025000000000006
0.48,40.5206,-41.9852,61.025000000000006
0.49,39.544200000000004,-42.473400000000005,62.001400000000004
0.5,40.5206,-42.961600000000004,62.001400000000004
0.51,40.5206,-41.9852,61.513200000000005
0.52,40.5206,-42.473400000000005,62.9778
0.53,40.5206,-41.9852,62.001400000000004
0.54,39.544200000000004,-42.961600000000004,62.001400000000004
0.55,40.0324,-42.473400000000005,62.9778
0.56,41.497,-43.4498,62.4896
0.5700000000000001,40.5206,-42.473400000000005,62.001400000000004
0.58,40.0324,-42.473400000000005,62.4896
0.59,41.0088,-43.938,62.001400000000004
0.6,41.497,-43.938,62.9778
0.61,41.0088,-43.938,62.9778
0.62,41.9852,-43.938,62.9778
0.63,41.497,-44.4262,62.9778
0.64,42.473400000000005,-43.4498,62.4896
0.65,41.0088,-43.4498,62.9778
0.66,41.0088,-43.938,63.466
0.67,41.0088,-43.4498,62.4896
0.68,41.0088,-43.4498,62.001400000000004
0.6900000000000001,41.9852,-42.961600000000004,62.9778
0.7000000000000001,41.9852,-43.4498,63.9542
0.71,41.497,-44.4262,63.9542
0.72,42.473400000000005,-43.4498,62.9778
0.73,41.9852,-43.938,63.9542
0.74,42.473400000000005,-43.938,64.4424
0.75,41.9852,-44.4262,63.9542
0.76,41.9852,-43.938,63.466
0.77,41.9852,-43.4498,64.4424
0.78,42.961600000000004,-43.4498,64.9306
0.79,42.473400000000005,-44.4262,64.4424
0.8,41.9852,-43.4498,64.9306
0.81,42.961600000000004,-43.4498,64.9306
0.8200000000000001,42.961600000000004,-44.9144,64.4424
0.8300000000000001,42.473400000000005,-44.4262,63.9542
0.84,42.473400000000005,-43.938,64.9306
0.85,41.9852,-45.4026,65.907
0.86,42.473400000000005,-43.4498,65.4188
0.87,43.938,-44.9144,65.4188
0.88,42.473400000000005,-43.938,65.4188
0.89,43.4498,-43.4498,64.9306
0.9,42.961600000000004,-44.4262,65.907
0.91,42.473400000000005,-44.4262,66.3952
0.92,43.4498,-43.938,65.4188
0.93,43.4498,-44.4262,66.3952
0.9400000000000001,43.938,-44.9144,65.4188
0.9500000000000001,42.473400000000005,-43.938,66.3952
0.96,43.4498,-44.4262,65.907
0.97,42.961600000000004,-44.4262,65.907
0.98,43.938,-44.4262,66.88340000000001
0.99,44.4262,-43.938,66.3952
1.0,43.938,-44.4262,66.88340000000001
1.01,43.4498,-44.9144,66.88340000000001
1.02,43.938,-44.4262,67.3716
1.03,43.4498,-44.4262,66.88340000000001
1.04,43.4498,-44.4262,66.3952
1.05,43.938,-44.4262,67.8598
1.06,43.938,-44.4262,66.88340000000001
1.07,43.4498,-44.4262,67.8598
1.08,42.961600000000004,-44.4262,67.3716
1.09,43.938,-43.4498,67.3716
1.1,42.961600000000004,-43.938,66.88340000000001
1.11,43.4498,-43.938,67.3716
1.12,43.4498,-44.9144,67.8598
1.1300000000000001,42.961600000000004,-44.4262,67.8598
1.1400000000000001,42.473400000000005,-43.4498,67.8598
1.1500000000000001,42.961600000000004,-43.938,66.88340000000001
1.16,43.4498,-45.4026,68.348
1.17,41.9852,-45.4026,67.8598
1.18,42.961600000000004,-43.938,67.8598
1.19,42.961600000000004,-44.4262,66.88340000000001
1.2,41.9852,-44.4262,67.8598
1.21,42.473400000000005,-44.4262,67.3716
1.22,42.473400000000005,-43.938,66.88340000000001
1.23,42.473400000000005,-44.4262,67.8598
1.24,42.473400000000005,-44.4262,66.3952
1.25,42.473400000000005,-45.4026,67.8598
1.26,41.9852,-44.4262,67.8598
1.27,42.473400000000005,-44.9144,67.3716
1.28,41.9852,-45.4026,66.88340000000001
1.29,42.961600000000004,-44.4262,67.8598
1.3,42.473400000000005,-44.9144,67.3716
1.31,41.497,-44.9144,67.3716
1.32,42.473400000000005,-45.4026,67.3716
1.33,41.0088,-45.8908,66.3952
1.34,42.961600000000004,-43.938,67.3716
1.35,42.473400000000005,-45.4026,66.88340000000001
1.36,41.497,-44.9144,67.8598
1.37,42.473400000000005,-44.4262,66.88340000000001
1.3800000000000001,41.497,-44.9144,67.3716
1.3900000000000001,41.9852,-45.8908,67.3716
1.4000000000000001,42.961600000000004,-45.4026,67.8598
1.41,41.497,-45.4026,66.88340000000001
1.42,41.9852,-45.8908,66.88340000000001
1.43,41.0088,-45.8908,67.8598
1.44,41.9852,-44.9144,66.88340000000001
1.45,42.961600000000004,-45.4026,67.8598
1.46,41.9852,-45.8908,66.3952
1.47,41.9852,-44.9144,67.3716
1.48,41.9852,-44.4262,66.88340000000001
1.49,41.9852,-45.4026,66.88340000000001
1.5,41.9852,-44.9144,67.3716
1.51,41.9852,-46.379000000000005,66.88340000000001
1.52,42.961600000000004,-45.4026,66.88340000000001
1.53,41.9852,-45.4026,66.88340000000001
1.54,42.473400000000005,-44.4262,66.88340000000001
1.55,41.9852,-44.9144,66.3952
1.56,41.9852,-44.9144,66.88340000000001
1.57,41.0088,-44.9144,65.907
1.58,41.0088,-45.4026,65.907
1.59,41.9852,-45.8908,66.3952
1.6,41.497,-44.9144,66.3952
1.61,41.9852,-44.9144,66.88340000000001
1.62,41.0088,-45.8908,65.4188
1.6300000000000001,41.497,-45.8908,64.9306
1.6400000000000001,41.0088,-45.4026,65.907
1.6500000000000001,41.0088,-45.4026,65.4188
1.6600000000000001,41.0088,-45.8908,65.907
1.67,41.9852,-45.8908,65.4188
1.68,41.497,-45.8908,65.4188
1.69,41.9852,-46.379000000000005,64.9306
1.7,41.497,-45.4026,64.4424
1.71,41.497,-45.8908,64.9306
1.72,41.497,-45.4026,64.4424
1.73,41.497,-45.8908,64.4424
1.74,41.497,-44.4262,64.4424
1.75,41.497,-45.4026,63.9542
1.76,41.497,-44.9144,62.9778
1.77,41.497,-43.4498,63.466
1.78,41.9852,-44.9144,63.9542
1.79,42.473400000000005,-44.4262,63.9542
1.8,42.473400000000005,-44.9144,63.466
1.81,41.9852,-44.4262,63.466
1.82,41.497,-44.4262,64.9306
1.83,41.9852,-44.4262,64.4424
1.84,42.473400000000005,-44.9144,63.9542
1.85,41.9852,-43.4498,63.466
1.86,41.9852,-43.938,64.4424
1.87,41.9852,-44.9144,62.9778
1.8800000000000001,41.9852,-43.938,63.466
1.8900000000000001,41.497,-43.938,63.466
1.9000000000000001,41.0088,-43.4498,64.9306
1.9100000000000001,41.0088,-43.4498,63.466
1.92,41.9852,-43.4498,62.9778
1.93,41.9852,-42.473400000000005,63.9542
1.94,41.9852,-42.473400000000005,63.466
1.95,41.497,-42.961600000000004,63.466
1.96,41.9852,-41.9852,63.466
1.97,41.0088,-42.961600000000004,62.4896
1.98,41.497,-41.9852,64.4424
1.99,41.0088,-42.473400000000005,63.9542
2.0,40.0324,-41.9852,63.466
2.0100000000000002,40.5206,-42.473400000000005,64.4424
2.02,40.0324,-41.9852,63.466
2.0300000000000002,39.544200000000004,-41.9852,63.466
2.04,40.0324,-41.9852,62.9778
2.05,39.056000000000004,-41.9852,62.9778
2.06,40.0324,-41.9852,62.9778
2.07,39.056000000000004,-42.473400000000005,63.466
2.08,38.0796,-41.9852,62.9778
2.09,38.5678,-42.473400000000005,62.4896
2.1,39.056000000000004,-42.473400000000005,62.001400000000004
2.11,39.056000000000004,-42.961600000000004,62.001400000000004
2.12,39.544200000000004,-42.961600000000004,60.5368
2.13,38.0796,-42.961600000000004,62.001400000000004
2.14,39.056000000000004,-42.961600000000004,62.001400000000004
2.15,38.5678,-41.9852,61.513200000000005
2.16,39.056000000000004,-42.473400000000005,61.513200000000005
2.17,38.5678,-42.961600000000004,62.001400000000004
2.18,38.5678,-41.497,61.513200000000005
2.19,38.5678,-41.497,61.025000000000006
2.2,38.5678,-41.497,60.0486
2.21,39.056000000000004,-41.9852,60.5368
2.22,39.056000000000004,-41.9852,61.025000000000006
2.23,38.5678,-42.961600000000004,59.0722
2.24,38.5678,-42.473400000000005,60.5368
2.25,38.5678,-41.9852,60.0486
2.2600000000000002,37.5914,-41.9852,60.0486
2.27,37.1032,-41.497,60.0486
2.2800000000000002,39.544200000000004,-41.9852,59.0722
2.29,39.056000000000004,-42.473400000000005,59.5604
2.3000000000000003,38.0796,-41.9852,58.584
2.31,38.0796,-41.497,59.0722
2.32,38.5678,-41.0088,58.584
2.33,38.5678,-41.497,58.584
2.34,39.056000000000004,-41.9852,58.584
2.35,38.0796,-41.0088,58.584
2.36,38.0796,-41.0088,58.095800000000004
2.37,38.0796,-41.0088,58.584
2.38,38.0796,-40.5206,57.119400000000006
2.39,37.5914,-40.0324,58.095800000000004
2.4,38.5678,-40.5206,58.095800000000004
2.41,37.1032,-41.0088,57.607600000000005
