t,wx,wy,wz
0,0.0,-2.2912767558193847,-4.882665004969502
0.01,0.0,-2.0550187717079575,-5.3754012511118034
0.02,0.0,-2.206138743526979,-5.1444643927686515
0.03,0.0,-2.262542676670698,-5.387107727802009
0.04,0.0,-1.9858441367203772,-4.6900402521579325
0.05,0.0,-2.69461808905466,-4.25157948885204
0.06,0.0,-2.5690395209233605,-5.5126862959333085
0.07,0.0,-2.275313378514559,-3.9312477176018614
0.08,0.0,-2.9032062191710555,-3.805669149470562
0.09,0.0,-2.2689280275926285,-5.12105143938824
0.1,0.0,-2.740379770661828,-4.563397458872978
0.11,0.0,-1.875164720740249,-4.842224449130609
0.12,0.0,-2.450910528867647,-4.179212178403495
0.13,0.0,-2.29021253066573,-4.683654901236002
0.14,0.0,-2.793591028344582,-5.446704336406694
0.15,0.0,-2.318946609814417,-4.544241406107187
0.16,0.0,-2.045440745325062,-4.941197388420531
0.17,0.0,-2.008192864947134,-4.979509493952114
0.18,0.0,-2.412598423336064,-4.85499515097447
0.19,0.0,-2.722287943049692,-3.9323119427555167
0.2,0.0,-2.215716769909874,-5.260464934517055
0.21,0.0,-2.5424338920819833,-5.109344962698034
0.22,0.0,-2.2455150742122165,-4.809233469367301
0.23,0.0,-2.368965192036206,-4.842224449130609
0.24,0.0,-1.7240447489212278,-4.744315734994342
0.25,0.0,-2.2274232466000803,-5.544613050542961
0.26,0.0,-2.494543760167505,-4.898628382274328
0.27,0.0,-2.1284503073101577,-4.7113247552310344
0.28,0.0,-2.574360646691636,-4.78156361537227
0.29,0.0,-1.9975506134105832,-4.578296611024149
0.3,0.0,-2.010321315254444,-4.5889388625607
0.31,0.0,-2.266799577285318,-4.64747124601173
0.32,0.0,-2.1486705852296044,-4.0089361538186825
0.33,0.0,-2.5381769914673633,-4.800719668138061
0.34,0.0,-2.0167066661763746,-4.996537096410596
0.35000000000000003,0.0,-2.2348728226756656,-4.770921363835718
0.36,0.0,-2.0677894735518185,-4.782627840525925
0.37,0.002128450307310158,-2.280634504282834,-4.8571236012817804
0.38,0.00957802638289571,-2.6648197847523174,-4.359066229371203
0.39,0.017027602458481263,-1.8006689599843935,-4.868830077971986
0.4,0.025541403687721894,-2.195496491990428,-4.239873012161834
0.41000000000000003,0.0351194300706176,-1.8368526152086662,-4.160056125637704
0.42,0.044697456453513314,-2.36151561596062,-5.081675108703002
0.43,0.054275482836409025,-2.249771974826837,-4.071725437884332
0.44,0.0659819595266149,-2.5839386730745315,-4.628315193245938
0.45,0.07662421106316568,-2.3221392852753824,-5.3285753443509805
0.46,0.08833068775337155,-2.6116085270695635,-4.949711189649772
0.47000000000000003,0.1011013895972325,-2.5818102227672215,-5.244501557212229
0.48,0.11387209144109345,-2.1816615649929116,-4.558076333104703
0.49,0.12770701843860946,-2.348744914116759,-4.256900614620315
0.5,0.1415419454361255,-2.237001272982976,-4.759214887145513
0.51,0.1564410975872966,-2.3945065957239278,-5.273235636360916
0.52,0.1724044748921228,-2.2891483055120747,-5.231730855368368
0.53,0.18836785219694896,-1.9922294876423077,-5.159363544919823
0.54,0.20539545465543024,-2.5999020503793577,-4.839031773669644
0.55,0.2224230571139115,-2.1135511551589867,-4.803912343599026
0.56,0.24051488472604785,-2.1539917109978797,-6.140579136589805
0.5700000000000001,0.2596709374918393,-2.2763776036682137,-5.084867784163967
0.58,0.27989121541128575,-2.643535281679216,-4.506993525729259
0.59,0.3001114933307323,-1.6420994120897867,-5.079546658395691
0.6,0.32033177125017875,-2.279570279129179,-4.941197388420531
0.61,0.3426804994769354,-2.2678638024389732,-4.800719668138061
0.62,0.363965002550037,-2.0816244005493343,-4.289891594383623
0.63,0.3873779559304487,-1.982651461259412,-3.454474848764386
0.64,0.4107909093108605,-2.060339897476233,-3.5640900395908592
0.65,0.43526808784492727,-2.4998648859357804,-4.382479182751615
0.66,0.46080949153264916,-1.5707963267948966,-3.745008315712223
0.67,0.48635089522037106,-2.0411838447104413,-4.069596987577022
0.68,0.5129565240617481,-1.6782830673140594,-4.079175013959918
0.6900000000000001,0.54062637805678,-1.6144295580947547,-3.774806620014565
0.7000000000000001,0.5693604572054672,-2.3657725165752406,-4.267542866156867
0.71,0.5980945363541543,-1.7964120593697732,-4.72303123192124
0.72,0.6268286155028415,-2.167826637995396,-3.923798141526276
0.73,0.6576911449588387,-2.2040102932196683,-3.899320962992209
0.74,0.6885536744148361,-1.7176593979992973,-3.788641547012081
0.75,0.7204804290244884,-2.060339897476233,-3.869522658689867
0.76,0.7524071836341408,-1.8836785219694896,-3.3906213395450813
0.77,0.7853981633974483,-1.6633839151628884,-4.032349107199094
0.78,0.8194533683144107,-2.010321315254444,-3.854623506538696
0.79,0.8545727983850284,-1.6750903918530942,-4.283506243461693
0.8,0.889692228455646,-2.3136254840461414,-3.1447853290507584
0.81,0.9258758836799187,-1.901770349581626,-4.24519413793011
0.8200000000000001,0.9631237640578464,-1.8102469863672892,-3.0947667468289697
0.8300000000000001,1.0003716444357742,-1.5250346451877281,-3.9589175715968934
0.84,1.0386837499673571,-1.4633095862757335,-3.356566134628119
0.85,1.0780600806525948,-1.8698435949719736,-4.065340086962402
0.86,1.1174364113378328,-2.1114227048516767,-3.810990275238838
0.87,1.157876967176726,-2.060339897476233,-4.057890510886816
0.88,1.199381748169274,-1.4239332555904956,-3.871651108997177
0.89,1.240886529161822,-2.195496491990428,-3.4342545708449395
0.9,1.2845197604616803,-1.6293287102459257,-4.181340628710805
0.91,1.3270887666078834,-1.7048886961554364,-4.263285965542246
0.92,1.3717862230613966,-1.41648367951491,-3.4608601996863166
0.93,1.41648367951491,-1.3994560770564288,-3.7833204212438054
0.9400000000000001,1.4622453611220785,-1.847494866745217,-4.5570121079510475
0.9500000000000001,1.508007042729247,-1.3451805942200197,-3.428933445076664
0.96,1.5558971746437253,-1.4207405801295303,-3.9802020746699953
0.97,1.603787306558204,-0.9216189830652983,-3.739687189943947
0.98,1.6516774384726824,-1.9613669581863105,-3.856751956846006
